지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일 최심신적설(cm),일 최심적설(cm)
112,인천,2010-12-26,-7.4,0,2.5,,
112,인천,2010-12-27,-2.8,1.1,2.8,1.9,1.9
112,인천,2010-12-28,-1,4.2,3.8,5.5,7.3
112,인천,2010-12-29,-4,.3,2.4,.4,5
112,인천,2010-12-30,-4.6,3,4.6,4.6,9
112,인천,2010-12-31,-7,,4.4,,7
112,인천,2011-01-01,-6.3,,2.6,,5.8
112,인천,2011-01-02,-4.7,,2.2,,5.4
112,인천,2011-01-03,-4.1,,2.6,,5
112,인천,2011-01-04,-2.5,,2.2,,4.5
112,인천,2011-01-05,-3,,4.5,,4.4
112,인천,2011-01-06,-5.9,,5,,4.3
112,인천,2011-01-07,-5.4,,2.4,,4.1
112,인천,2011-01-08,-1,.1,3.1,.1,3.2
112,인천,2011-01-09,-5.7,,6.5,,2.5
112,인천,2011-01-10,-6.6,,2.8,,2.1
112,인천,2011-01-11,-3.4,1.6,3.4,2.7,2.7
112,인천,2011-01-12,-6.5,,5.5,,2.7
112,인천,2011-01-13,-4.3,,2.1,,1.2
112,인천,2011-01-14,-2.3,1,4.5,1.5,1.5
112,인천,2011-01-15,-10.5,,8.4,,
112,인천,2011-01-16,-12.2,,4.6,,
112,인천,2011-01-17,-7.9,,2.3,,
112,인천,2011-01-18,-5.2,,1.8,,
112,인천,2011-01-19,-5.2,.1,2.7,.2,.2
112,인천,2011-01-20,-6.6,0,3.9,,.2
112,인천,2011-01-21,-5.3,,2.6,,
112,인천,2011-01-22,-2.8,.3,2.6,.6,.6
112,인천,2011-01-23,-2.6,3.9,3.8,6,6
112,인천,2011-01-24,-7,,4.2,,6
112,인천,2011-01-25,-6.6,,2.7,,3.8
112,인천,2011-01-26,-6.7,,4.2,,1.3
112,인천,2011-01-27,-7.1,,4.9,,.9
112,인천,2011-01-28,-6.4,,4,,.5
112,인천,2011-01-29,-7.2,,5.3,,
112,인천,2011-01-30,-8.2,,5.6,,
112,인천,2011-01-31,-4.3,0,2.2,,
112,인천,2011-02-01,.6,,1.9,,
112,인천,2011-02-02,2.1,,1.4,,
112,인천,2011-02-03,1.8,,1.6,,
112,인천,2011-02-04,2.2,,1.9,,
112,인천,2011-02-05,1,,1.9,,
112,인천,2011-02-06,.7,,1.7,,
112,인천,2011-02-07,.3,,1.5,,
112,인천,2011-02-08,3.3,,3.3,,
112,인천,2011-02-09,-.8,,5.6,,
112,인천,2011-02-10,-2.2,,3,,
112,인천,2011-02-11,-2.6,,4.1,,
112,인천,2011-02-12,-4.8,,4.8,,
112,인천,2011-02-13,-4.7,,2.3,,
112,인천,2011-02-14,-3.1,,1.9,,
112,인천,2011-02-15,-1.2,,2.1,,
112,인천,2011-02-16,-.3,,2.2,,
112,인천,2011-02-17,1.2,0,3.1,,
112,인천,2011-02-18,1.5,,2.4,,
112,인천,2011-02-19,1.6,,1.9,,
112,인천,2011-02-20,5.4,,2,,
112,인천,2011-02-21,6.9,,2.6,,
112,인천,2011-02-22,4.3,,1.8,,
112,인천,2011-02-23,2.3,0,1.9,,
112,인천,2011-02-24,5.1,,2.2,,
112,인천,2011-02-25,2.2,,4.8,,
112,인천,2011-02-26,6.5,,2.7,,
112,인천,2011-02-27,6,32,4.5,,
112,인천,2011-02-28,3.6,.5,3.7,,
112,인천,2011-03-01,1.4,1,4.9,1,1
112,인천,2011-03-02,-.8,,6.4,,
112,인천,2011-03-03,-.5,,5.5,,
112,인천,2011-03-04,1.3,,3.9,,
112,인천,2011-03-05,2.7,,2.9,,
112,인천,2011-03-06,4,,3,,
112,인천,2011-03-07,2.4,,6.6,,
112,인천,2011-03-08,2.8,,5.2,,
112,인천,2011-03-09,1.8,,6.4,,
112,인천,2011-03-10,2.6,,4,,
112,인천,2011-03-11,5.4,,2.8,,
112,인천,2011-03-12,8.3,,3.6,,
112,인천,2011-03-13,9.5,,3,,
112,인천,2011-03-14,6,,3.1,,
112,인천,2011-03-15,2.2,,7,,
112,인천,2011-03-16,1,,6.3,,
112,인천,2011-03-17,1.9,,3.3,,
112,인천,2011-03-18,6.1,,2.9,,
112,인천,2011-03-19,7.9,,2.7,,
112,인천,2011-03-20,6.6,5,2.8,,
112,인천,2011-03-21,7.8,,4,,
112,인천,2011-03-22,2.9,,7.6,,
112,인천,2011-03-23,3.2,,3.9,,
112,인천,2011-03-24,3.9,8.5,3.3,3,3
112,인천,2011-03-25,3.4,,7,,2.6
112,인천,2011-03-26,4.3,,3.6,,
112,인천,2011-03-27,6,0,3.7,,
112,인천,2011-03-28,5.8,0,3.3,,
112,인천,2011-03-29,5.1,,3.2,,
112,인천,2011-03-30,6.7,,3.3,,
112,인천,2011-03-31,7.2,,2.4,,
112,인천,2011-04-01,8,,2.3,,
112,인천,2011-04-02,7.5,,2,,
112,인천,2011-04-03,8.8,,2.6,,
112,인천,2011-04-04,8.7,,2.7,,
112,인천,2011-04-05,8.4,,2.7,,
112,인천,2011-04-06,9.2,,2.7,,
112,인천,2011-04-07,9.8,7.5,2.3,,
112,인천,2011-04-08,10.6,,3.1,,
112,인천,2011-04-09,7,,2.6,,
112,인천,2011-04-10,9.6,.5,3.6,,
112,인천,2011-04-11,10.1,,4.9,,
112,인천,2011-04-12,8.6,,3.3,,
112,인천,2011-04-13,10,,3.5,,
112,인천,2011-04-14,10.9,,2.4,,
112,인천,2011-04-15,10.7,0,3,,
112,인천,2011-04-16,10.9,,3.7,,
112,인천,2011-04-17,10.9,,3.8,,
112,인천,2011-04-18,6.9,2.5,3.9,,
112,인천,2011-04-19,9.8,,3.6,,
112,인천,2011-04-20,9.8,,3.6,,
112,인천,2011-04-21,13.6,0,2.4,,
112,인천,2011-04-22,9.9,17,3.3,,
112,인천,2011-04-23,9.8,,5.4,,
112,인천,2011-04-24,9.4,,4.9,,
112,인천,2011-04-25,10.6,.1,3.9,,
112,인천,2011-04-26,11.3,3,3.2,,
112,인천,2011-04-27,12,2.5,3.5,,
112,인천,2011-04-28,10.6,,4.6,,
112,인천,2011-04-29,13.5,2.5,3.9,,
112,인천,2011-04-30,13.4,92,4.6,,
112,인천,2011-05-01,11.6,,3.9,,
112,인천,2011-05-02,12.8,,2.4,,
112,인천,2011-05-03,13.9,,3.2,,
112,인천,2011-05-04,14.8,,2.1,,
112,인천,2011-05-05,16.4,,2.5,,
112,인천,2011-05-06,15.5,1,2.7,,
112,인천,2011-05-07,13.2,2,2.8,,
112,인천,2011-05-08,15.7,,1.9,,
112,인천,2011-05-09,16.7,.5,3.7,,
112,인천,2011-05-10,16.5,6.5,1.9,,
112,인천,2011-05-11,17.7,14.5,3.1,,
112,인천,2011-05-12,15.5,,3.3,,
112,인천,2011-05-13,13.4,,3.8,,
112,인천,2011-05-14,14.9,,3.9,,
112,인천,2011-05-15,15.6,,4.3,,
112,인천,2011-05-16,15.3,,2.5,,
112,인천,2011-05-17,15.8,,2.4,,
112,인천,2011-05-18,18.9,,4.3,,
112,인천,2011-05-19,19.5,.2,6.5,,
112,인천,2011-05-20,16.2,12,3.5,,
112,인천,2011-05-21,14.2,2,1.9,,
112,인천,2011-05-22,15.8,,2.6,,
112,인천,2011-05-23,18.2,,2.3,,
112,인천,2011-05-24,19.6,,2.2,,
112,인천,2011-05-25,22.2,,1.7,,
112,인천,2011-05-26,19.8,,2.3,,
112,인천,2011-05-27,18.4,,2.3,,
112,인천,2011-05-28,20.4,,2.3,,
112,인천,2011-05-29,22,,2.6,,
112,인천,2011-05-30,20.2,,2.4,,
112,인천,2011-05-31,18.7,5.5,2.6,,
112,인천,2011-06-01,17,13.5,3.5,,
112,인천,2011-06-02,16.6,,2.3,,
112,인천,2011-06-03,15.9,0,2.6,,
112,인천,2011-06-04,16.5,1,2.5,,
112,인천,2011-06-05,17.8,,2.1,,
112,인천,2011-06-06,17.4,,1.7,,
112,인천,2011-06-07,18.4,.1,1.8,,
112,인천,2011-06-08,19.7,.4,3.1,,
112,인천,2011-06-09,18.1,1.5,2.6,,
112,인천,2011-06-10,19.8,0,1.7,,
112,인천,2011-06-11,21.3,,2.8,,
112,인천,2011-06-12,20.1,0,2.5,,
112,인천,2011-06-13,18.4,,2.5,,
112,인천,2011-06-14,19.4,,2.5,,
112,인천,2011-06-15,21.7,,2.3,,
112,인천,2011-06-16,23.7,,2.2,,
112,인천,2011-06-17,22.7,.1,2.7,,
112,인천,2011-06-18,22,,2.2,,
112,인천,2011-06-19,23.7,,2.3,,
112,인천,2011-06-20,22.5,,2.8,,
112,인천,2011-06-21,21.3,,2.7,,
112,인천,2011-06-22,22.1,18.5,2.2,,
112,인천,2011-06-23,20.8,33.5,5,,
112,인천,2011-06-24,19.7,6.5,2.1,,
112,인천,2011-06-25,18.8,33.5,3.8,,
112,인천,2011-06-26,19.8,33,5.7,,
112,인천,2011-06-27,18.5,13,5,,
112,인천,2011-06-28,22.8,1,1.9,,
112,인천,2011-06-29,20.8,143,2.8,,
112,인천,2011-06-30,22.9,9,2.7,,
112,인천,2011-07-01,23.4,,2.2,,
112,인천,2011-07-02,23.4,,1.4,,
112,인천,2011-07-03,21.5,103.5,2.2,,
112,인천,2011-07-04,20.3,,3,,
112,인천,2011-07-05,22,,2.6,,
112,인천,2011-07-06,23.3,,1.6,,
112,인천,2011-07-07,21.6,47,2.1,,
112,인천,2011-07-08,21.2,.2,1.7,,
112,인천,2011-07-09,23.6,6.5,1.3,,
112,인천,2011-07-10,23.6,6,2.3,,
112,인천,2011-07-11,21.2,22.5,1.8,,
112,인천,2011-07-12,22.7,37,2.6,,
112,인천,2011-07-13,24,36,4.5,,
112,인천,2011-07-14,23.2,43.5,2.9,,
112,인천,2011-07-15,22.2,14,3,,
112,인천,2011-07-16,22.4,73,1,,
112,인천,2011-07-17,24.1,2.5,2.1,,
112,인천,2011-07-18,27.9,,2.1,,
112,인천,2011-07-19,27.9,,3.4,,
112,인천,2011-07-20,27.5,,2.2,,
112,인천,2011-07-21,26.2,,2.7,,
112,인천,2011-07-22,23.5,.5,1.3,,
112,인천,2011-07-23,24.5,,1.9,,
112,인천,2011-07-24,24,33.5,2.2,,
112,인천,2011-07-25,25.8,,2.4,,
112,인천,2011-07-26,25.7,16.5,3.4,,
112,인천,2011-07-27,24.3,192,3.1,,
112,인천,2011-07-28,23.9,79.5,4.1,,
112,인천,2011-07-29,24.7,4,1.7,,
112,인천,2011-07-30,25.7,,1.7,,
112,인천,2011-07-31,24.4,146.5,2.8,,
112,인천,2011-08-01,25.1,8,1.2,,
112,인천,2011-08-02,25.9,.3,1.2,,
112,인천,2011-08-03,25.3,4.5,2.3,,
112,인천,2011-08-04,25,16.5,1.6,,
112,인천,2011-08-05,27.9,6,1.6,,
112,인천,2011-08-06,27.7,36,1.8,,
112,인천,2011-08-07,28,5.5,3.5,,
112,인천,2011-08-08,24.1,33.5,7.4,,
112,인천,2011-08-09,24.8,,3.5,,
112,인천,2011-08-10,23.9,0,1.8,,
112,인천,2011-08-11,25.1,.1,1.7,,
112,인천,2011-08-12,24.2,23,1.9,,
112,인천,2011-08-13,24.5,22,3.6,,
112,인천,2011-08-14,23.8,10,2.5,,
112,인천,2011-08-15,23.6,.5,1.7,,
112,인천,2011-08-16,23.9,34.5,3,,
112,인천,2011-08-17,23.2,5.5,1.6,,
112,인천,2011-08-18,24.4,,2.5,,
112,인천,2011-08-19,23.4,,1.8,,
112,인천,2011-08-20,22.4,,2.2,,
112,인천,2011-08-21,23.3,,1.7,,
112,인천,2011-08-22,24,2.5,1.2,,
112,인천,2011-08-23,24.2,0,1.5,,
112,인천,2011-08-24,24.9,,1.8,,
112,인천,2011-08-25,25.4,,1.6,,
112,인천,2011-08-26,26.7,,2.3,,
112,인천,2011-08-27,27,,2,,
112,인천,2011-08-28,26.3,,2.7,,
112,인천,2011-08-29,25.7,,2.2,,
112,인천,2011-08-30,26.3,,2.3,,
112,인천,2011-08-31,26.5,,2.8,,
112,인천,2011-09-01,26,,3.1,,
112,인천,2011-09-02,26.4,,2.4,,
112,인천,2011-09-03,24.6,,2.8,,
112,인천,2011-09-04,23.5,,2.6,,
112,인천,2011-09-05,23.1,,3.1,,
112,인천,2011-09-06,22.7,,2.9,,
112,인천,2011-09-07,22.3,,2.1,,
112,인천,2011-09-08,22,0,2.4,,
112,인천,2011-09-09,20.5,3,.9,,
112,인천,2011-09-10,22,,1.9,,
112,인천,2011-09-11,21.6,0,1.7,,
112,인천,2011-09-12,22.8,,2,,
112,인천,2011-09-13,24.1,,1.9,,
112,인천,2011-09-14,24,,2.1,,
112,인천,2011-09-15,24.7,,2.2,,
112,인천,2011-09-16,24.8,,1.8,,
112,인천,2011-09-17,24.2,,2.9,,
112,인천,2011-09-18,21.2,,3.3,,
112,인천,2011-09-19,17.8,.4,3.2,,
112,인천,2011-09-20,18,,2.6,,
112,인천,2011-09-21,18.4,,2.6,,
112,인천,2011-09-22,18.7,,2.7,,
112,인천,2011-09-23,19.8,,1.9,,
112,인천,2011-09-24,20,,2.2,,
112,인천,2011-09-25,20,,1.9,,
112,인천,2011-09-26,20.7,,2.5,,
112,인천,2011-09-27,22.1,,1.9,,
112,인천,2011-09-28,20.7,,1.9,,
112,인천,2011-09-29,17.9,23,2.5,,
112,인천,2011-09-30,15.2,,5.7,,
112,인천,2011-10-01,13,,3.3,,
112,인천,2011-10-02,14.2,,3.7,,
112,인천,2011-10-03,14.1,,2.3,,
112,인천,2011-10-04,15.5,,1.8,,
112,인천,2011-10-05,16.8,,2.2,,
112,인천,2011-10-06,17.3,,5.2,,
112,인천,2011-10-07,16,,2.3,,
112,인천,2011-10-08,16.5,,1.6,,
112,인천,2011-10-09,17.1,,1.3,,
112,인천,2011-10-10,17.2,,1.6,,
112,인천,2011-10-11,16,,2.3,,
112,인천,2011-10-12,15.2,,1.6,,
112,인천,2011-10-13,17,,1.3,,
112,인천,2011-10-14,15.1,7.5,1,,
112,인천,2011-10-15,14,19.5,2.6,,
112,인천,2011-10-17,12.5,,5.3,,
112,인천,2011-10-18,10.5,,2.4,,
112,인천,2011-10-19,14.4,,1.7,,
112,인천,2011-10-20,16.5,,1.3,,
112,인천,2011-10-21,17.5,,1.4,,
112,인천,2011-10-22,17.2,,2.3,,
112,인천,2011-10-23,16.7,.1,1.7,,
112,인천,2011-10-24,13.1,1.7,4.2,,
112,인천,2011-10-25,8.9,,5.5,,
112,인천,2011-10-26,10.3,,.8,,
112,인천,2011-10-27,13.3,,.3,,
112,인천,2011-10-28,14.7,,.9,,
112,인천,2011-10-29,13.8,1.5,.1,,
112,인천,2011-10-30,14.8,,1.8,,
112,인천,2011-10-31,15.1,,1.9,,
112,인천,2011-11-01,16.6,,1.7,,
112,인천,2011-11-02,16,,1.8,,
112,인천,2011-11-03,16.6,,1.4,,
112,인천,2011-11-04,18.3,2.5,2.3,,
112,인천,2011-11-05,18.7,0,2.5,,
112,인천,2011-11-06,15.4,9,2.6,,
112,인천,2011-11-07,14.9,,2.1,,
112,인천,2011-11-08,14.2,,2.2,,
112,인천,2011-11-09,15.3,3,2.6,,
112,인천,2011-11-10,14.8,.1,2.4,,
112,인천,2011-11-11,12.7,4,1.8,,
112,인천,2011-11-12,13,,2.4,,
112,인천,2011-11-13,12.3,,5,,
112,인천,2011-11-14,7.5,,3.7,,
112,인천,2011-11-15,8.3,,1.6,,
112,인천,2011-11-16,12.3,,1.9,,
112,인천,2011-11-17,14.5,0,3,,
112,인천,2011-11-18,15.6,4,2.7,,
112,인천,2011-11-19,10.7,,6.3,,
112,인천,2011-11-20,1.8,,7.1,,
112,인천,2011-11-21,3.3,,2.4,,
112,인천,2011-11-22,7.1,1,4,,
112,인천,2011-11-23,4.3,8,7.4,,
112,인천,2011-11-24,.2,,3.7,,
112,인천,2011-11-25,4.2,0,1.5,,
112,인천,2011-11-26,8.3,,3.7,,
112,인천,2011-11-27,14,0,4.1,,
112,인천,2011-11-28,14.7,1,2.2,,
112,인천,2011-11-29,11.2,.1,2.7,,
112,인천,2011-11-30,5.7,23,3.4,,
112,인천,2011-12-01,7,0,2.6,,
112,인천,2011-12-02,6.8,0,3.2,,
112,인천,2011-12-03,6.7,.1,4,,
112,인천,2011-12-04,3.8,,4.7,,
112,인천,2011-12-05,2.2,,2.4,,
112,인천,2011-12-06,4.4,,2.6,,
112,인천,2011-12-07,5.4,,2.7,,
112,인천,2011-12-08,1,,5.1,,
112,인천,2011-12-09,-1.4,0,3.7,,
112,인천,2011-12-10,-.2,.3,2.5,.4,.4
112,인천,2011-12-11,4.4,.1,2.2,,
112,인천,2011-12-12,4.7,,3.4,,
112,인천,2011-12-13,2.1,,1.9,,
112,인천,2011-12-14,3.7,0,3.9,,
112,인천,2011-12-15,-2.4,,6.1,,
112,인천,2011-12-16,-5.4,,6.6,,
112,인천,2011-12-17,-3.9,,1.9,,
112,인천,2011-12-18,-1,,3.1,,
112,인천,2011-12-19,-1.2,,2.1,,
112,인천,2011-12-20,1.1,,1.8,,
112,인천,2011-12-21,3.4,0,3.7,,
112,인천,2011-12-22,-3.9,,7.8,,
112,인천,2011-12-23,-3.8,6.3,2.9,6.9,6.9
112,인천,2011-12-24,-4,.2,5.5,.3,7
112,인천,2011-12-25,-5.5,,5.4,,1.2
112,인천,2011-12-26,-5.5,,5,,.7
112,인천,2011-12-27,-2.8,,1.6,,
112,인천,2011-12-28,1.1,.1,2.4,,
112,인천,2011-12-29,-1.4,,3.4,,
112,인천,2011-12-30,-3.2,,1.9,,
112,인천,2011-12-31,-.7,,1.8,,
112,인천,2012-01-01,-2.3,0,4.4,,
112,인천,2012-01-02,-3.6,,2.1,,
112,인천,2012-01-03,-3.1,0,3.5,,
112,인천,2012-01-04,-5.7,,5.5,,
112,인천,2012-01-05,-3.8,,2.4,,
112,인천,2012-01-06,-2.2,0,3.4,,
112,인천,2012-01-07,-3.7,,2,,
112,인천,2012-01-08,-1.6,,1.7,,
112,인천,2012-01-09,.5,,1.7,,
112,인천,2012-01-10,-1.4,,3.1,,
112,인천,2012-01-11,-4.9,,5.4,,
112,인천,2012-01-12,-2.5,.1,2.9,.1,.1
112,인천,2012-01-13,.3,,3.9,,
112,인천,2012-01-14,-.1,,2.3,,
112,인천,2012-01-15,-2,,3.1,,
112,인천,2012-01-16,.1,,2.8,,
112,인천,2012-01-17,1.9,,2.7,,
112,인천,2012-01-18,1.4,,2.8,,
112,인천,2012-01-19,4.1,0,2.7,,
112,인천,2012-01-20,6.2,0,2.6,,
112,인천,2012-01-21,2.3,0,3.3,,
112,인천,2012-01-22,-6.6,,5.9,,
112,인천,2012-01-23,-7.8,,4.6,,
112,인천,2012-01-24,-5.9,.8,2.6,1.3,1.3
112,인천,2012-01-25,-6.5,,4.6,,1.3
112,인천,2012-01-26,-1.2,0,3.1,.2,.2
112,인천,2012-01-27,.6,.1,3.3,.2,.2
112,인천,2012-01-28,-1.3,,3.5,,
112,인천,2012-01-29,-1.9,,3.9,,
112,인천,2012-01-30,-4.4,,4.3,,
112,인천,2012-01-31,-3.4,3,4.7,4.6,4.6
112,인천,2012-02-01,-10.7,,6.5,,4.6
112,인천,2012-02-02,-11.7,,5,,2.7
112,인천,2012-02-03,-6.8,0,2.5,.1,1.4
112,인천,2012-02-04,-1.5,0,3.2,.1,.2
112,인천,2012-02-05,-.3,,1.9,,
112,인천,2012-02-06,1.2,0,2.6,,
112,인천,2012-02-07,-7.5,,7.5,,
112,인천,2012-02-08,-6.4,0,4.1,,
112,인천,2012-02-09,-2.6,0,2.8,,
112,인천,2012-02-10,-2,,3.7,,
112,인천,2012-02-11,-2.4,,3,,
112,인천,2012-02-12,-.2,,2.5,,
112,인천,2012-02-13,3,,2.5,,
112,인천,2012-02-14,3.1,,3.9,,
112,인천,2012-02-15,-.7,,4.9,,
112,인천,2012-02-16,-1.8,,4.6,,
112,인천,2012-02-17,-4.9,,6.8,,
112,인천,2012-02-18,-5.4,,5.4,,
112,인천,2012-02-19,-3.2,,2.6,,
112,인천,2012-02-20,.6,,3.5,,
112,인천,2012-02-21,3.1,,2.2,,
112,인천,2012-02-22,6.6,,2.7,,
112,인천,2012-02-23,4.6,0,4.7,,
112,인천,2012-02-24,3.8,,2.8,,
112,인천,2012-02-25,1.2,,5.5,,
112,인천,2012-02-26,-.9,,4.9,,
112,인천,2012-02-27,-.4,,3,,
112,인천,2012-02-28,3.1,,1.8,,
112,인천,2012-02-29,4.7,,2.7,,
112,인천,2012-03-01,7.2,,2.5,,
112,인천,2012-03-02,7.7,0,2.2,,
112,인천,2012-03-03,7.9,,2.4,,
112,인천,2012-03-04,7.7,0,3.8,,
112,인천,2012-03-05,6.7,7,4.3,,
112,인천,2012-03-06,4.1,2.5,6,,
112,인천,2012-03-07,3.1,,3.3,,
112,인천,2012-03-08,2.1,,4.7,,
112,인천,2012-03-09,2.5,,3.4,,
112,인천,2012-03-10,3.3,,3.9,,
112,인천,2012-03-11,-1.2,0,8.4,,
112,인천,2012-03-12,-.5,,5.3,,
112,인천,2012-03-13,2.7,,3.1,,
112,인천,2012-03-14,3.7,,4.2,,
112,인천,2012-03-15,5,,2.1,,
112,인천,2012-03-16,8.8,3.5,3,,
112,인천,2012-03-17,8.9,2,3.2,,
112,인천,2012-03-18,5.9,,4,,
112,인천,2012-03-19,2.7,,3.8,,
112,인천,2012-03-20,3.3,,4.6,,
112,인천,2012-03-21,4.4,,3.3,,
112,인천,2012-03-22,6.8,,2.6,,
112,인천,2012-03-23,6.1,11.5,3.2,,
112,인천,2012-03-24,4.6,.1,8.2,,
112,인천,2012-03-25,4.6,,7.1,,
112,인천,2012-03-26,4.8,,4.8,,
112,인천,2012-03-27,6.3,,3.3,,
112,인천,2012-03-28,8.6,,2.2,,
112,인천,2012-03-29,9.7,0,3,,
112,인천,2012-03-30,7.8,0,3.8,,
112,인천,2012-03-31,6.2,,5.8,,
112,인천,2012-04-01,5.1,,3.8,,
112,인천,2012-04-02,10,12.5,3.5,,
112,인천,2012-04-03,5.7,17.5,9,,
112,인천,2012-04-04,7.3,,5.1,,
112,인천,2012-04-05,7.4,,5.2,,
112,인천,2012-04-06,6.3,,6.8,,
112,인천,2012-04-07,6.2,,3.6,,
112,인천,2012-04-08,10.4,,5,,
112,인천,2012-04-09,12.3,0,2.5,,
112,인천,2012-04-10,12.9,6,2.8,,
112,인천,2012-04-11,11.2,2,4.2,,
112,인천,2012-04-12,8.1,0,3.2,,
112,인천,2012-04-13,9.2,,2.8,,
112,인천,2012-04-14,7.5,,2,,
112,인천,2012-04-15,10.5,,2.3,,
112,인천,2012-04-16,9.4,,2.8,,
112,인천,2012-04-17,11.7,,2,,
112,인천,2012-04-18,13.1,,2.6,,
112,인천,2012-04-19,15,,2.3,,
112,인천,2012-04-20,18.1,,3.1,,
112,인천,2012-04-21,12.9,43,4.9,,
112,인천,2012-04-22,9.3,8,5.2,,
112,인천,2012-04-23,13.4,0,2.9,,
112,인천,2012-04-24,18.9,,2.1,,
112,인천,2012-04-25,15.9,15,5.2,,
112,인천,2012-04-26,11.2,.5,5.4,,
112,인천,2012-04-27,14.8,,5.1,,
112,인천,2012-04-28,15.8,,3.4,,
112,인천,2012-04-29,19.1,,2.2,,
112,인천,2012-04-30,22.5,,2.7,,
112,인천,2012-05-01,21.6,,2.3,,
112,인천,2012-05-02,21.5,,3.2,,
112,인천,2012-05-03,20.5,,2.7,,
112,인천,2012-05-04,17.3,,2.6,,
112,인천,2012-05-05,16.1,,3.6,,
112,인천,2012-05-06,15.6,,3,,
112,인천,2012-05-07,16.5,,2,,
112,인천,2012-05-08,18.3,,2.5,,
112,인천,2012-05-09,16.5,,2.5,,
112,인천,2012-05-10,18.2,,2.1,,
